cust_id,age,gender,marital_status,employment_status,income,number_of_dependants,residence_type,years_at_current_address,city,state,zipcode,loan_id,loan_purpose,loan_type,sanction_amount,loan_amount,processing_fee,gst,net_disbursement,loan_tenure_months,principal_outstanding,bank_balance_at_application,disbursal_date,installment_start_dt,default,number_of_open_accounts,number_of_closed_accounts,total_loan_months,delinquent_months,total_dpd,enquiry_count,credit_utilization_ratio
C10534,48,F,Married,Self-Employed,2169000,2,Mortgage,20,Delhi,Delhi,110001,L10534,Home,Secured,7064000,5796000,115920.0,1043280,4636800,40,1582446,663383,2020-08-12,2020-08-31,False,3,1,79,12,63,8,13
C10535,23,F,Single,Self-Employed,6187000,0,Owned,7,Mumbai,Maharashtra,400001,L10535,Personal,Unsecured,5000000,3750000,75000.0,675000,3000000,9,2686159,1750567,2020-08-12,2020-09-10,False,3,2,48,0,0,6,15
C10536,27,M,Single,Self-Employed,2090000,1,Rented,15,Hyderabad,Telangana,500001,L10536,Home,Secured,7781000,5804000,116080.0,1044720,4643200,40,932119,786122,2020-08-12,2020-08-13,False,4,1,136,0,0,8,35
C10537,50,F,Married,Self-Employed,3241000,5,Mortgage,8,Lucknow,Uttar Pradesh,226001,L10537,Home,Secured,10259000,10094000,201880.0,1816920,8075200,43,2268636,812976,2020-08-12,2020-09-05,False,3,1,151,0,0,5,63
C10538,28,M,Married,Self-Employed,2239000,3,Rented,27,Hyderabad,Telangana,500001,L10538,Personal,Unsecured,2304000,2011000,40220.0,361980,1608800,6,1211865,662724,2020-08-12,2020-08-14,True,4,1,134,9,53,8,91
C10539,21,M,Single,Self-Employed,716000,1,Rented,7,Kolkata,West Bengal,700001,L10539,Personal,Unsecured,801000,647000,12940.0,116460,517600,6,356061,215674,2020-08-12,2020-08-28,False,3,0,98,0,0,3,35
C10540,58,M,Married,Self-Employed,3385000,5,Rented,12,Kolkata,West Bengal,700001,L10540,Auto,Secured,3409000,2869000,57380.0,516420,2295200,27,2065679,1124692,2020-08-12,2020-08-21,False,2,0,33,0,0,7,70
C10541,26,M,Single,Salaried,155000,0,Owned,6,Delhi,Delhi,110001,L10541,Auto,Secured,241000,173000,3460.0,31140,138400,32,63441,73021,2020-08-12,2020-09-06,False,2,0,62,3,4,7,96
C10542,41,M,Single,Self-Employed,2559000,0,Mortgage,15,Delhi,Delhi,110001,L10542,Personal,Unsecured,2147000,1642000,32840.0,295560,1313600,16,1182239,1141315,2020-08-12,2020-09-02,False,3,1,145,0,0,8,55
C10543,40,M,Married,Self-Employed,3350000,2,Owned,9,Chennai,Tamil Nadu,600001,L10543,Auto,Secured,3951000,3082000,61640.0,554760,2465600,26,2219039,1705619,2020-08-12,2020-08-14,False,4,2,111,10,61,9,94
C10544,18,M,Married,Self-Employed,4143000,4,Owned,8,Chennai,Tamil Nadu,600001,L10544,Auto,Secured,6087000,4960000,99200.0,892800,3968000,25,1669737,1433954,2020-08-12,2020-08-27,False,3,1,73,12,45,5,22
C10545,37,F,Single,Self-Employed,1438000,1,Owned,10,Chennai,Tamil Nadu,600001,L10545,Personal,Unsecured,1274000,915000,18300.0,164700,732000,19,658799,590827,2020-08-12,2020-09-08,False,1,2,2,0,0,4,58
C10546,44,F,Married,Salaried,2229000,3,Mortgage,3,Chennai,Tamil Nadu,600001,L10546,Personal,Unsecured,1746000,1623000,32460.0,292140,1298400,11,1168559,942288,2020-08-12,2020-08-25,False,3,1,68,9,47,5,39
C10547,43,M,Married,Self-Employed,1590000,4,Owned,21,Hyderabad,Telangana,500001,L10547,Home,Secured,5093000,3651000,73020.0,657180,2920800,43,830705,398562,2020-08-12,2020-09-07,False,2,0,79,0,0,3,68
C10548,49,M,Married,Self-Employed,2021000,3,Mortgage,23,Mumbai,Maharashtra,400001,L10548,Education,Secured,3150000,2390000,47800.0,430200,1912000,33,1144559,489529,2020-08-12,2020-09-07,False,2,2,36,1,4,7,18
C10549,36,F,Married,Self-Employed,3558000,3,Owned,18,Ahmedabad,Gujarat,380001,L10549,Education,Secured,6651000,5853000,117060.0,1053540,4682400,43,2110268,1178005,2020-08-12,2020-08-23,False,3,0,79,12,61,3,4
C10550,47,F,Married,Self-Employed,2065000,3,Owned,6,Lucknow,Uttar Pradesh,226001,L10550,Education,Secured,3422000,2434000,48680.0,438120,1947200,35,1273227,905372,2020-08-12,2020-08-15,False,2,1,53,0,0,2,6
C10551,33,M,Single,Salaried,989000,0,Owned,16,Chennai,Tamil Nadu,600001,L10551,Home,Secured,3842000,3659000,73180.0,658620,2927200,40,502668,286746,2020-08-12,2020-09-03,False,4,0,67,10,58,6,9
C10552,25,F,Single,Self-Employed,424000,0,Rented,7,Chennai,Tamil Nadu,600001,L10552,Personal,Unsecured,444000,368000,7360.0,66240,294400,21,192850,111168,2020-08-12,2020-08-22,False,3,1,137,12,60,3,3
C10553,27,F,Married,Salaried,1579000,3,Owned,8,Chennai,Tamil Nadu,600001,L10553,Home,Secured,6583000,5507000,110140.0,991260,4405600,46,944634,706320,2020-08-12,2020-09-08,False,4,1,131,9,38,6,28
C10554,25,M,Single,Self-Employed,2428000,0,Owned,2,Kolkata,West Bengal,700001,L10554,Education,Secured,4493000,3631000,72620.0,653580,2904800,54,1264334,931110,2020-08-12,2020-08-31,False,1,2,33,8,55,6,28
C10555,50,F,Married,Self-Employed,3630000,2,Owned,13,Jaipur,Rajasthan,302001,L10555,Education,Secured,5422000,3984000,79680.0,717120,3187200,51,2449278,894525,2020-08-12,2020-08-18,False,3,0,91,21,131,5,39
C10556,24,F,Single,Self-Employed,1790000,0,Owned,11,Mumbai,Maharashtra,400001,L10556,Home,Secured,7744000,7262000,145240.0,1307160,5809600,40,987410,466362,2020-08-12,2020-08-28,False,4,0,168,0,0,9,1
C10557,42,F,Single,Self-Employed,11324000,1,Owned,8,Bangalore,Karnataka,560001,L10557,Auto,Secured,10000000,9207000,184140.0,1657260,7365600,22,5000000,3263082,2020-08-12,2020-09-08,False,4,0,107,0,0,6,55
C10558,37,F,Married,Self-Employed,507000,3,Owned,24,Mumbai,Maharashtra,400001,L10558,Personal,Unsecured,467000,375000,7500.0,67500,300000,18,269999,155772,2020-08-13,2020-09-09,False,2,2,47,11,62,3,28
C10559,38,M,Single,Self-Employed,1418000,1,Rented,25,Jaipur,Rajasthan,302001,L10559,Auto,Secured,1878000,1450000,29000.0,261000,1160000,30,920247,420079,2020-08-13,2020-08-27,False,1,2,4,0,0,6,28
C10560,53,F,Married,Self-Employed,793000,3,Owned,23,Kolkata,West Bengal,700001,L10560,Home,Secured,2358000,1727000,34540.0,310860,1381600,43,398968,424279,2020-08-13,2020-08-26,False,1,0,60,0,0,1,54
C10561,35,M,Single,Salaried,881000,0,Owned,27,Pune,Maharashtra,411001,L10561,Personal,Unsecured,720000,611000,12220.0,109980,488800,13,437045,401649,2020-08-13,2020-09-04,False,3,2,47,0,0,8,43
C10562,46,M,Married,Salaried,851000,2,Mortgage,2,Lucknow,Uttar Pradesh,226001,L10562,Home,Secured,2596000,2479000,49580.0,446220,1983200,36,536330,205475,2020-08-13,2020-08-14,False,2,1,49,0,0,4,21
C10563,40,F,Married,Self-Employed,5311000,2,Rented,25,Hyderabad,Telangana,500001,L10563,Personal,Unsecured,4228000,3982000,79640.0,716760,3185600,8,2867039,1981657,2020-08-13,2020-08-30,False,1,0,25,2,12,4,52
C10564,38,F,Married,Self-Employed,687000,3,Owned,17,Hyderabad,Telangana,500001,L10564,Home,Secured,2229000,1644000,32880.0,295920,1315200,26,443574,288870,2020-08-13,2020-09-01,False,4,1,132,4,21,4,34
C10565,62,F,Married,Self-Employed,2761000,4,Owned,7,Jaipur,Rajasthan,302001,L10565,Personal,Unsecured,2048000,1443000,28860.0,259740,1154400,14,1038959,826682,2020-08-13,2020-08-30,False,4,1,123,1,3,8,19
C10566,25,M,Single,Self-Employed,11782000,1,Owned,11,Kolkata,West Bengal,700001,L10566,Auto,Secured,10000000,8515000,170300.0,1532700,6812000,14,5000000,4569150,2020-08-13,2020-09-05,False,3,0,90,0,0,8,24
C10567,52,M,Married,Self-Employed,1281000,4,Owned,17,Mumbai,Maharashtra,400001,L10567,Home,Secured,3747000,3721000,74420.0,669780,2976800,27,699780,343553,2020-08-13,2020-08-25,False,3,1,64,0,0,3,27
C10568,46,F,Married,Self-Employed,130000,4,Owned,25,Jaipur,Rajasthan,302001,L10568,Education,Secured,222000,165000,3300.0,29700,132000,42,73039,39472,2020-08-13,2020-08-24,False,1,1,42,0,0,2,54
C10569,35,M,Single,Salaried,3501000,1,Owned,9,Lucknow,Uttar Pradesh,226001,L10569,Personal,Unsecured,3240000,2335000,46700.0,420300,1868000,13,1681199,997887,2020-08-13,2020-09-08,False,1,1,4,0,0,2,94
C10570,56,F,Single,Self-Employed,3844000,0,Rented,23,Delhi,Delhi,110001,L10570,Education,Secured,5875000,5792000,115840.0,1042560,4633600,27,2549503,1296551,2020-08-13,2020-08-24,False,3,0,100,9,39,7,8
C10571,21,F,Married,Salaried,871000,2,Owned,12,Mumbai,Maharashtra,400001,L10571,Home,Secured,3919000,3300000,66000.0,594000,2640000,34,440059,354770,2020-08-13,2020-09-01,False,2,0,31,0,0,7,28
C10572,34,M,Married,Salaried,2984000,3,Owned,31,Mumbai,Maharashtra,400001,L10572,Education,Secured,5563000,4721000,94420.0,849780,3776800,57,1801845,565297,2020-08-13,2020-09-05,False,2,0,58,0,0,6,52
C10573,27,M,Married,Salaried,2624000,2,Rented,21,Jaipur,Rajasthan,302001,L10573,Home,Secured,11158000,8983000,179660.0,1616940,7186400,24,1117573,730246,2020-08-13,2020-09-05,False,1,1,51,0,0,5,6
C10574,44,M,Married,Self-Employed,459000,3,Mortgage,15,Jaipur,Rajasthan,302001,L10574,Education,Secured,705000,695000,13900.0,125100,556000,28,275600,133651,2020-08-13,2020-08-24,False,1,1,55,0,0,5,68
C10575,28,F,Single,Self-Employed,3329000,0,Rented,29,Bangalore,Karnataka,560001,L10575,Personal,Unsecured,3109000,2455000,49100.0,441900,1964000,12,1767599,1583223,2020-08-13,2020-08-19,False,4,2,169,0,0,5,33
C10576,44,M,Single,Self-Employed,1814000,1,Rented,11,Mumbai,Maharashtra,400001,L10576,Home,Secured,5844000,4583000,91660.0,824940,3666400,32,993146,590256,2020-08-13,2020-08-21,True,1,0,28,23,119,5,25
C10577,38,F,Single,Salaried,113000,2,Mortgage,29,Pune,Maharashtra,411001,L10577,Personal,Unsecured,95000,88000,1760.0,15840,70400,17,63359,54629,2020-08-13,2020-08-18,False,3,2,117,0,0,7,83
C10578,35,F,Single,Self-Employed,2656000,2,Mortgage,18,Hyderabad,Telangana,500001,L10578,Personal,Unsecured,2561000,2365000,47300.0,425700,1892000,22,1359714,976647,2020-08-13,2020-09-03,False,4,2,86,4,32,6,13
C10579,43,M,Single,Self-Employed,2108000,1,Owned,11,Lucknow,Uttar Pradesh,226001,L10579,Personal,Unsecured,1881000,1417000,28340.0,255060,1133600,8,1020239,643649,2020-08-13,2020-09-04,False,1,1,4,0,0,2,20
C10580,37,M,Married,Salaried,1780000,3,Mortgage,1,Pune,Maharashtra,411001,L10580,Education,Secured,3338000,3132000,62640.0,563760,2505600,46,1014801,506304,2020-08-13,2020-09-05,False,3,1,64,11,77,4,31
C10581,29,F,Married,Self-Employed,8061000,3,Owned,29,Bangalore,Karnataka,560001,L10581,Education,Secured,16403000,12688000,253760.0,2283840,10150400,16,4009445,2458153,2020-08-13,2020-08-18,False,2,0,43,8,28,3,13
C10582,68,M,Single,Self-Employed,1737000,0,Owned,23,Jaipur,Rajasthan,302001,L10582,Personal,Unsecured,1222000,1006000,20120.0,181080,804800,23,724319,462884,2020-08-13,2020-08-21,False,3,1,83,2,6,7,14
C10583,35,M,Single,Salaried,1665000,0,Owned,14,Pune,Maharashtra,411001,L10583,Auto,Secured,2238000,1853000,37060.0,333540,1482400,18,1020465,682689,2020-08-13,2020-09-08,False,2,1,82,16,85,5,37
C10584,18,F,Single,Self-Employed,196000,0,Rented,14,Ahmedabad,Gujarat,380001,L10584,Education,Secured,401000,286000,5720.0,51480,228800,33,83085,75795,2020-08-13,2020-09-12,False,1,0,23,2,14,6,14
C10585,31,F,Single,Salaried,1634000,0,Mortgage,5,Mumbai,Maharashtra,400001,L10585,Auto,Secured,2424000,2161000,43220.0,388980,1728800,35,896723,527628,2020-08-13,2020-08-29,False,2,2,56,1,8,2,29
C10586,27,M,Married,Salaried,2484000,3,Rented,28,Hyderabad,Telangana,500001,L10586,Auto,Secured,3384000,3378000,67560.0,608040,2702400,27,1359228,786267,2020-08-14,2020-09-05,False,4,0,75,4,20,7,22
C10587,48,F,Single,Salaried,2274000,1,Rented,30,Mumbai,Maharashtra,400001,L10587,Home,Secured,7181000,6194000,123880.0,1114920,4955200,29,1276495,607565,2020-08-14,2020-08-22,False,3,1,41,21,132,6,45
C10588,43,M,Single,Self-Employed,3988000,0,Owned,3,Lucknow,Uttar Pradesh,226001,L10588,Education,Secured,6028000,5911000,118220.0,1063980,4728800,12,2325908,935077,2020-08-14,2020-08-30,False,3,1,165,2,14,5,51
C10589,43,F,Married,Salaried,2391000,3,Owned,18,Kolkata,West Bengal,700001,L10589,Personal,Unsecured,1993000,1898000,37960.0,341640,1518400,21,1366559,1557873,2020-08-14,2020-08-28,False,2,2,60,0,0,2,51
C10590,36,F,Single,Self-Employed,1565000,0,Mortgage,22,Kolkata,West Bengal,700001,L10590,Auto,Secured,1919000,1446000,28920.0,260280,1156800,25,713253,705855,2020-08-14,2020-08-22,False,1,1,16,7,45,3,58
C10591,37,M,Married,Self-Employed,1629000,2,Rented,22,Jaipur,Rajasthan,302001,L10591,Auto,Secured,2227000,2177000,43540.0,391860,1741600,21,1165443,774710,2020-08-14,2020-09-11,False,4,1,171,12,63,8,37
C10592,36,F,Single,Self-Employed,128000,1,Owned,14,Kolkata,West Bengal,700001,L10592,Auto,Secured,169000,143000,2860.0,25740,114400,17,67038,26235,2020-08-14,2020-09-13,False,1,2,43,3,9,2,72
C10593,39,F,Single,Self-Employed,627000,0,Owned,18,Delhi,Delhi,110001,L10593,Auto,Secured,839000,813000,16260.0,146340,650400,20,300329,162579,2020-08-14,2020-08-26,True,4,0,99,6,51,7,91
C10594,48,M,Single,Self-Employed,901000,2,Mortgage,16,Mumbai,Maharashtra,400001,L10594,Home,Secured,2699000,2091000,41820.0,376380,1672800,27,542290,231783,2020-08-14,2020-09-05,False,3,2,76,4,24,6,50
C10595,43,M,Single,Salaried,1856000,1,Rented,26,Pune,Maharashtra,411001,L10595,Home,Secured,6206000,4380000,87600.0,788400,3504000,26,1200245,808036,2020-08-14,2020-08-25,False,1,0,16,3,13,1,66
C10596,45,F,Single,Self-Employed,2323000,1,Mortgage,10,Hyderabad,Telangana,500001,L10596,Home,Secured,7424000,5343000,106860.0,961740,4274400,39,1300583,900357,2020-08-14,2020-09-04,False,4,1,105,22,109,4,28
C10597,44,M,Married,Self-Employed,1779000,2,Mortgage,5,Bangalore,Karnataka,560001,L10597,Education,Secured,2656000,2150000,43000.0,387000,1720000,27,971026,752593,2020-08-14,2020-08-26,False,2,1,30,4,22,4,74
C10598,48,M,Married,Self-Employed,2059000,2,Owned,11,Bangalore,Karnataka,560001,L10598,Education,Secured,3282000,2919000,58380.0,525420,2335200,39,1152760,736249,2020-08-14,2020-09-09,False,2,0,72,0,0,6,82
C10599,42,M,Married,Salaried,626000,4,Rented,25,Kolkata,West Bengal,700001,L10599,Home,Secured,2230000,1846000,36920.0,332280,1476800,44,380547,273213,2020-08-14,2020-09-02,False,3,2,117,6,34,6,44
C10600,43,M,Single,Self-Employed,1110000,1,Owned,13,Lucknow,Uttar Pradesh,226001,L10600,Home,Secured,3299000,2928000,58560.0,527040,2342400,38,576112,264009,2020-08-14,2020-08-29,False,1,1,53,0,0,3,16
C10601,51,M,Married,Self-Employed,6364000,2,Owned,9,Mumbai,Maharashtra,400001,L10601,Home,Secured,19542000,15755000,315100.0,2835900,12604000,34,3811536,2046998,2020-08-14,2020-08-27,False,1,1,26,7,39,5,44
C10602,33,F,Married,Salaried,7157000,3,Mortgage,27,Jaipur,Rajasthan,302001,L10602,Personal,Unsecured,5000000,4662000,93240.0,839160,3729600,7,3356639,3035854,2020-08-14,2020-08-22,False,4,1,169,3,14,7,32
C10603,31,F,Single,Self-Employed,6295000,0,Mortgage,6,Kolkata,West Bengal,700001,L10603,Personal,Unsecured,5000000,4135000,82700.0,744300,3308000,18,2825410,2267376,2020-08-14,2020-09-07,False,4,0,141,0,0,6,29
C10604,28,M,Married,Salaried,499000,2,Owned,13,Ahmedabad,Gujarat,380001,L10604,Education,Secured,912000,869000,17380.0,156420,695200,40,220957,226603,2020-08-14,2020-08-30,True,4,1,150,14,82,7,92
C10605,41,M,Married,Self-Employed,2671000,4,Rented,28,Kolkata,West Bengal,700001,L10605,Education,Secured,4593000,4496000,89920.0,809280,3596800,52,1846416,970239,2020-08-14,2020-08-25,False,3,2,88,12,64,3,39
C10606,21,F,Single,Salaried,446000,1,Owned,21,Delhi,Delhi,110001,L10606,Education,Secured,897000,661000,13220.0,118980,528800,57,238547,269764,2020-08-14,2020-08-31,False,2,1,34,0,0,7,77
C10607,44,F,Married,Self-Employed,480000,4,Rented,30,Kolkata,West Bengal,700001,L10607,Education,Secured,758000,684000,13680.0,123120,547200,12,313731,114424,2020-08-14,2020-08-23,False,2,0,107,2,18,7,13
C10608,38,F,Married,Self-Employed,2407000,3,Rented,10,Delhi,Delhi,110001,L10608,Home,Secured,7942000,6688000,133760.0,1203840,5350400,44,1013241,1322948,2020-08-14,2020-09-09,False,1,0,36,3,22,3,34
C10609,51,M,Married,Self-Employed,2692000,5,Mortgage,5,Delhi,Delhi,110001,L10609,Personal,Unsecured,1876000,1748000,34960.0,314640,1398400,6,1258559,993585,2020-08-14,2020-08-27,False,2,1,56,4,18,3,17
C10610,33,M,Married,Self-Employed,1388000,3,Rented,1,Kolkata,West Bengal,700001,L10610,Auto,Secured,2055000,1608000,32160.0,289440,1286400,19,889076,344309,2020-08-14,2020-08-27,True,4,0,40,11,61,8,88
C10611,37,F,Single,Salaried,869000,0,Owned,23,Delhi,Delhi,110001,L10611,Personal,Unsecured,702000,645000,12900.0,116100,516000,22,464399,234242,2020-08-14,2020-08-27,False,2,0,40,16,94,7,3
C10612,51,F,Married,Self-Employed,497000,3,Rented,6,Bangalore,Karnataka,560001,L10612,Personal,Unsecured,378000,302000,6040.0,54360,241600,12,217439,190823,2020-08-14,2020-09-02,False,1,2,44,6,24,6,59
C10613,53,F,Married,Self-Employed,8087000,3,Owned,1,Hyderabad,Telangana,500001,L10613,Auto,Secured,9476000,8217000,164340.0,1479060,6573600,23,4123402,2340686,2020-08-15,2020-09-02,False,1,2,44,3,4,6,74
C10614,33,F,Married,Salaried,758000,3,Owned,7,Kolkata,West Bengal,700001,L10614,Education,Secured,1292000,1178000,23560.0,212040,942400,59,475555,378503,2020-08-15,2020-08-26,False,4,0,86,0,0,4,97
C10615,41,M,Married,Self-Employed,7915000,3,Rented,30,Mumbai,Maharashtra,400001,L10615,Home,Secured,27452000,25520000,510400.0,4593600,20416000,24,4620997,4376471,2020-08-15,2020-08-19,False,1,0,24,0,0,2,50
C10616,42,M,Single,Salaried,244000,0,Mortgage,28,Pune,Maharashtra,411001,L10616,Home,Secured,887000,650000,13000.0,117000,520000,29,152522,82964,2020-08-15,2020-08-22,True,4,1,81,18,114,9,86
C10617,43,M,Married,Self-Employed,3739000,3,Rented,6,Jaipur,Rajasthan,302001,L10617,Personal,Unsecured,3151000,2718000,54360.0,489240,2174400,6,1956959,1491459,2020-08-15,2020-09-07,False,2,1,85,12,94,4,26
C10618,37,M,Married,Self-Employed,1793000,2,Owned,15,Delhi,Delhi,110001,L10618,Personal,Unsecured,1675000,1411000,28220.0,253980,1128800,10,1015919,657261,2020-08-15,2020-08-25,False,2,2,79,3,16,5,34
C10619,52,F,Married,Self-Employed,3166000,4,Owned,10,Bangalore,Karnataka,560001,L10619,Education,Secured,4343000,3965000,79300.0,713700,3172000,26,2494007,950683,2020-08-15,2020-08-29,True,3,2,106,7,35,6,96
C10620,21,F,Single,Self-Employed,2050000,0,Owned,12,Pune,Maharashtra,411001,L10620,Personal,Unsecured,2182000,1617000,32340.0,291060,1293600,23,1062545,572674,2020-08-15,2020-08-30,False,2,0,111,0,0,7,49
C10621,35,M,Married,Salaried,2060000,3,Mortgage,1,Jaipur,Rajasthan,302001,L10621,Personal,Unsecured,1754000,1669000,33380.0,300420,1335200,23,990847,520976,2020-08-15,2020-08-19,False,2,2,63,4,25,6,5
C10622,44,M,Single,Self-Employed,3487000,1,Owned,7,Mumbai,Maharashtra,400001,L10622,Education,Secured,5914000,5829000,116580.0,1049220,4663200,54,1679016,2108148,2020-08-15,2020-09-10,False,2,0,81,6,28,7,30
C10623,44,F,Single,Salaried,518000,0,Mortgage,15,Kolkata,West Bengal,700001,L10623,Home,Secured,1773000,1678000,33560.0,302040,1342400,32,276947,214604,2020-08-15,2020-08-19,False,1,2,15,3,15,4,23
C10624,53,M,Married,Self-Employed,7710000,3,Owned,12,Mumbai,Maharashtra,400001,L10624,Auto,Secured,8745000,7278000,145560.0,1310040,5822400,34,5000000,3641117,2020-08-15,2020-08-30,False,2,2,37,2,13,2,92
C10625,51,F,Married,Self-Employed,9164000,3,Owned,17,Bangalore,Karnataka,560001,L10625,Home,Secured,24757000,22347000,446940.0,4022460,17877600,40,5000000,3291218,2020-08-15,2020-09-04,False,1,1,35,10,49,3,15
C10626,37,F,Married,Self-Employed,2358000,3,Mortgage,2,Pune,Maharashtra,411001,L10626,Personal,Unsecured,2125000,1633000,32660.0,293940,1306400,17,1175759,845724,2020-08-15,2020-09-14,False,2,1,35,0,0,7,85
C10627,52,M,Married,Self-Employed,1290000,2,Owned,4,Kolkata,West Bengal,700001,L10627,Personal,Unsecured,901000,857000,17140.0,154260,685600,18,617039,667681,2020-08-15,2020-08-27,False,3,2,106,8,46,7,10
C10628,32,M,Single,Salaried,898000,0,Mortgage,16,Chennai,Tamil Nadu,600001,L10628,Personal,Unsecured,869000,760000,15200.0,136800,608000,22,453655,246500,2020-08-15,2020-09-02,False,4,2,137,0,0,9,32
C10629,49,F,Married,Self-Employed,1362000,3,Owned,18,Jaipur,Rajasthan,302001,L10629,Auto,Secured,1628000,1159000,23180.0,208620,927200,20,815577,457755,2020-08-15,2020-08-20,False,2,1,45,2,17,5,47
C10630,58,F,Married,Self-Employed,2180000,3,Mortgage,27,Pune,Maharashtra,411001,L10630,Auto,Secured,2427000,2329000,46580.0,419220,1863200,22,1600002,837013,2020-08-15,2020-08-21,False,3,1,101,0,0,8,98
C10631,52,M,Married,Self-Employed,9349000,3,Rented,20,Bangalore,Karnataka,560001,L10631,Education,Secured,13836000,11355000,227100.0,2043900,9084000,19,5000000,5756916,2020-08-15,2020-09-05,False,1,1,27,7,50,5,21
C10632,41,M,Married,Self-Employed,2093000,2,Mortgage,12,Delhi,Delhi,110001,L10632,Auto,Secured,2680000,2349000,46980.0,422820,1879200,22,1098023,691102,2020-08-15,2020-09-07,False,3,1,55,0,0,3,69
C10633,36,M,Single,Self-Employed,2905000,0,Owned,19,Bangalore,Karnataka,560001,L10633,Personal,Unsecured,2347000,2322000,46440.0,417960,1857600,17,1413830,555058,2020-08-15,2020-08-16,False,2,0,17,0,0,3,88
C10634,24,F,Single,Salaried,386000,0,Rented,14,Bangalore,Karnataka,560001,L10634,Auto,Secured,554000,394000,7880.0,70920,315200,12,168025,150822,2020-08-15,2020-09-12,False,4,2,120,10,42,9,9
C10635,43,M,Single,Salaried,2340000,1,Owned,20,Pune,Maharashtra,411001,L10635,Personal,Unsecured,1866000,1841000,36820.0,331380,1472800,20,1325519,1142901,2020-08-15,2020-09-02,False,1,1,13,0,0,2,3
C10636,28,F,Single,Self-Employed,3937000,2,Owned,25,Bangalore,Karnataka,560001,L10636,Home,Secured,15143000,12146000,242920.0,2186280,9716800,26,2512576,1307501,2020-08-15,2020-09-01,False,4,2,115,0,0,6,46
C10637,32,F,Married,Salaried,1255000,3,Owned,22,Hyderabad,Telangana,500001,L10637,Home,Secured,4325000,3347000,66940.0,602460,2677600,31,809705,389617,2020-08-15,2020-09-11,False,4,0,90,24,145,6,6
C10638,28,M,Married,Salaried,2764000,2,Owned,19,Kolkata,West Bengal,700001,L10638,Education,Secured,5388000,5023000,100460.0,904140,4018400,19,1120223,993855,2020-08-15,2020-09-02,False,1,0,44,7,29,5,21
C10639,35,M,Married,Self-Employed,3000000,3,Mortgage,6,Hyderabad,Telangana,500001,L10639,Personal,Unsecured,2503000,1885000,37700.0,339300,1508000,21,1357199,1384297,2020-08-15,2020-08-19,False,2,2,20,17,80,5,23
C10640,39,M,Single,Self-Employed,3652000,0,Mortgage,24,Chennai,Tamil Nadu,600001,L10640,Education,Secured,6134000,4864000,97280.0,875520,3891200,35,1629988,1609674,2020-08-15,2020-09-11,False,1,2,10,0,0,2,29
C10641,42,M,Married,Self-Employed,1470000,3,Rented,5,Chennai,Tamil Nadu,600001,L10641,Home,Secured,4406000,4314000,86280.0,776520,3451200,48,907030,1006890,2020-08-16,2020-09-06,False,1,2,15,0,0,6,7
C10642,33,M,Married,Salaried,2256000,3,Mortgage,5,Delhi,Delhi,110001,L10642,Home,Secured,7689000,5521000,110420.0,993780,4416800,36,1201758,810816,2020-08-16,2020-09-09,False,2,2,34,16,99,6,52
C10643,50,M,Married,Self-Employed,1188000,4,Mortgage,30,Hyderabad,Telangana,500001,L10643,Home,Secured,3909000,2756000,55120.0,496080,2204800,26,761942,328391,2020-08-16,2020-09-11,False,3,0,90,24,130,3,4
C10644,37,M,Married,Self-Employed,4813000,2,Mortgage,7,Mumbai,Maharashtra,400001,L10644,Home,Secured,18539000,17944000,358880.0,3229920,14355200,28,2236973,2230255,2020-08-16,2020-09-08,True,1,1,50,0,0,6,85
C10645,32,M,Single,Salaried,3800000,0,Owned,11,Hyderabad,Telangana,500001,L10645,Education,Secured,7157000,5439000,108780.0,979020,4351200,44,2345155,2119126,2020-08-16,2020-09-08,False,4,1,150,0,0,5,20
C10646,42,M,Single,Self-Employed,2476000,1,Mortgage,26,Pune,Maharashtra,411001,L10646,Auto,Secured,2802000,2032000,40640.0,365760,1625600,25,1463039,1500663,2020-08-16,2020-08-27,True,1,2,5,3,10,2,95
C10647,59,F,Married,Self-Employed,654000,3,Owned,22,Hyderabad,Telangana,500001,L10647,Auto,Secured,645000,546000,10920.0,98280,436800,17,393119,297600,2020-08-16,2020-08-23,False,2,2,88,0,0,6,51
C10648,43,M,Single,Salaried,497000,0,Mortgage,4,Ahmedabad,Gujarat,380001,L10648,Home,Secured,1696000,1683000,33660.0,302940,1346400,26,321849,256977,2020-08-16,2020-08-27,False,3,1,96,8,41,6,29
C10649,36,F,Single,Self-Employed,1122000,1,Owned,21,Chennai,Tamil Nadu,600001,L10649,Personal,Unsecured,943000,681000,13620.0,122580,544800,15,490319,385869,2020-08-16,2020-08-22,False,3,1,98,2,12,4,81
C10650,24,M,Married,Self-Employed,3373000,3,Owned,22,Mumbai,Maharashtra,400001,L10650,Home,Secured,12633000,9204000,184080.0,1656720,7363200,45,1760172,1103157,2020-08-16,2020-09-13,False,4,0,166,0,0,4,13
C10651,37,M,Single,Self-Employed,3861000,2,Rented,14,Lucknow,Uttar Pradesh,226001,L10651,Home,Secured,14470000,11579000,231580.0,2084220,9263200,43,1853061,1508199,2020-08-16,2020-09-02,False,3,2,40,0,0,5,47
C10652,42,F,Married,Self-Employed,3571000,3,Owned,8,Ahmedabad,Gujarat,380001,L10652,Home,Secured,11638000,10591000,211820.0,1906380,8472800,47,2098859,1542714,2020-08-16,2020-08-27,False,4,1,108,4,21,4,4
